date,city,temperature,humidity
5/1/2017,new york,65,56
5/1/2017,new york,61,54
5/2/2017,new york,70,60
5/2/2017,new york,72,62
5/1/2017,mumbai,75,80
5/1/2017,mumbai,78,83
5/2/2017,mumbai,82,85
5/2/2017,mumbai,80,26
5/3/2017,new york,68,58
5/3/2017,new york,69,59
12/1/2017,new york,30,50
12/1/2017,new york,29,49
12/2/2017,new york,28,52
12/2/2017,new york,27,51
12/3/2017,new york,25,51
12/3/2017,new york,26,53
12/1/2017,mumbai,81,75
12/1/2017,mumbai,82,77
12/2/2017,mumbai,80,72
12/2/2017,mumbai,79,70
